Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб сайт 1,Веб сайт 2,Веб сайт 3,Twitter,ВКонтакте,YouTube,Skype,Широта,Долгота,2GIS URL
STK Tattoo studio,салон,Тату-салоны; Услуги косметолога,"Розы Люксембург, 4в",2 этаж; вход со двора,634009,,Ленинский район,Томск,Томск городской округ,Томская область,Россия,Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,83822211517,,,,,,,,,https://vk.com/stktattoo,,,56.489211,84.950129,https://2gis.com/firm/70000001021898804
Dear polly,студия макияжа,Услуги по уходу за ресницами / бровями; Услуги косметолога; Тату-салоны; Парикмахерские,"улица Гоголя, 15",цокольный этаж,634029,,Советский район,Томск,Томск городской округ,Томская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,89138200006,,,,,,,,,https://vk.com/pollysaratova,,,56.477877,84.96164,https://2gis.com/firm/70000001046673642
Тет-а-Тет,тату-салон,Тату-салоны,"Карповский переулок, 12",,634009,,Ленинский район,Томск,Томск городской округ,Томская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 12:00-19:00; Вс: 12:00-19:00,89539150724,,,,,http://tatootet.ru,,,,https://vk.com/tatootetatet,,,56.498773,84.95022,https://2gis.com/firm/422740746049178
Sticks & Bones,тату-студия,Тату-салоны,"Красноармейская, 101а",409 офис; 4 этаж,634034,,Кировский район,Томск,Томск городской округ,Томская область,Россия,Пн: 12:00-18:00; Вт: 12:00-18:00; Ср: 12:00-18:00; Чт: 12:00-18:00; Пт: 12:00-18:00; Сб: 12:00-18:00; Вс: 12:00-18:00 (по предварительной записи: пн-вс),89994959258,,,,,,,,,https://vk.com/sticksandbonestomsk,,,56.463068,84.965254,https://2gis.com/firm/70000001054772229
Студия Ярцевой Ксении,,Парикмахерские; Ногтевые студии; Услуги косметолога; Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты; Эпиляция; Услуги визажиста; Тату-салоны,"Учебная, 8",,634028,,Кировский район,Томск,Томск городской округ,Томская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,83822420376,89521502626,89234321200,,,,,,,,,,56.459239,84.944457,https://2gis.com/firm/422740746178847
Brow me,студия наращивания ресниц и оформления бровей,Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты; Ногтевые студии; Тату-салоны; Эпиляция,"улица Гагарина, 7",207 офис; 2 этаж,634050,,Советский район,Томск,Томск городской округ,Томская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00 (по предварительной записи: пн-вс),89138407275,,,,,,,,,,,,56.483056,84.950838,https://2gis.com/firm/70000001030108661
Взгляд,авторская студия наращивания ресниц,Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты; Тату-салоны; Услуги визажиста; Услуги косметолога,"проспект Ленина, 94",408 офис; 4 этаж,634009,,Ленинский район,Томск,Томск городской округ,Томская область,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89138530322,83822330322,,,,,,,,https://vk.com/vzgljadcom,,,56.491932,84.947872,https://2gis.com/firm/70000001032517388
Tattoo light,,Тату-салоны,"улица Аркадия Иванова, 8",,634028,,Кировский район,Томск,Томск городской округ,Томская область,Россия,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00 (по предварительной записи: пн-вс),89521593336 (администратор),,,,,http://vk.link/tattoolight,,,,https://vk.com/tattoolight,,,56.461844,84.945915,https://2gis.com/firm/70000001017385448
Galina Vorobyova,школа-студия красоты,Ногтевые студии; Услуги по уходу за ресницами / бровями; Эпиляция; Обучение мастеров для салонов красоты; Тату-салоны,"Смоленский переулок, 11",,634021,,Советский район,Томск,Томск городской округ,Томская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00 (по предварительной записи: пн-вс),89526833903,,,,,,,,,,,,56.47784,84.989462,https://2gis.com/firm/70000001037417818
Beauty workshop,мастерская красоты,Ногтевые студии; Парикмахерские; Услуги по уходу за ресницами / бровями; Услуги массажиста; Тату-салоны,"Сибирская, 83Б",,634021,,Советский район,Томск,Томск городской округ,Томская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,83822201655,89528880883,,,,http://taplink.cc/beautyworkshop_tomsk,,,,https://vk.com/beautyworkshopgroup,,,56.482047,84.988429,https://2gis.com/firm/70000001033920687
На игле,тату-студия,Тату-салоны; Украшения для пирсинга; Косметика / расходные материалы для салонов красоты; Обучение мастеров для салонов красоты,"Карла Маркса, 18",,634009,,Ленинский район,Томск,Томск городской округ,Томская область,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00 (по предварительной записи: пн-вс),89996194088,,,,,,,,,https://vk.com/naigletomsk,,,56.490829,84.945036,https://2gis.com/firm/70000001046240168
Красотка,центр красоты,Парикмахерские; Ногтевые студии; SPA-процедуры; Тату-салоны; Услуги массажиста,"Полины Осипенко, 31в",2 этаж,634034,,Кировский район,Томск,Томск городской округ,Томская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89234151819,83822941636,,,,,,,,,,,56.457562,84.971965,https://2gis.com/firm/422740746426010
INKUBE,тату-салон,Тату-салоны,"Льва Толстого, 38г",цокольный этаж,634021,,Советский район,Томск,Томск городской округ,Томская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00,89528896660,,,,,,,,,https://vk.com/inkube,,,56.483431,85.000917,https://2gis.com/firm/70000001046861152
Frida,мастерская красоты,Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны; Обучение мастеров для салонов красоты,"Дальне-Ключевская, 16а",,634026,Черемошники,Ленинский район,Томск,Томск городской округ,Томская область,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (по предварительной записи: пн-сб),89539142245,,,,,,,,,,,,56.504307,84.955451,https://2gis.com/firm/70000001043984757
Авиора,студия красоты,Тату-салоны; Услуги косметолога; Услуги по уходу за ресницами / бровями,"Интернационалистов, 8/2",,634057,Каштак-2,Ленинский район,Томск,Томск городской округ,Томская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи: пн-вс),83822257004,89521842619,,,,http://www.sk-aviora.ru,,,,https://vk.com/sk_aviora,,,56.512726,84.983727,https://2gis.com/firm/70000001020723617
Baskova permanent,студия,Тату-салоны; Услуги косметолога; Услуги по уходу за ресницами / бровями,"Мариинский переулок, 44",7 офис; 3 этаж,634003,,Октябрьский район,Томск,Томск городской округ,Томская область,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 07:00-21:00; Вс: 07:00-21:00 (по предварительной записи: пн-вс),89095495488,,,,,,,,,https://vk.com/evickaja,,,56.493327,84.980105,https://2gis.com/firm/70000001040030965
Венера,салон косметологии,Эпиляция; Услуги косметолога; Тату-салоны,"Комсомольский проспект, 73",,634041,,Кировский район,Томск,Томск городской округ,Томская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,89528073104,83822253015,,,,,,,,https://vk.com/veneratomsk23,,,56.469387,84.981219,https://2gis.com/firm/422740746049061
LUNAR SHAPES tattoo collective,,Тату-салоны,"Карла Маркса, 48/1",410 офис; 4 этаж,634009,,Ленинский район,Томск,Томск городской округ,Томская область,Россия,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00; Вс: 12:00-20:00 (по предварительной записи: пн-вс),89521549801,,,,,,,,,,,,56.498455,84.94428,https://2gis.com/firm/70000001056040448
Don`t stop,тату-студия,Тату-салоны,"Карла Маркса, 48/1",411 офис; 4 этаж,634009,,Ленинский район,Томск,Томск городской округ,Томская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительной записи: пн-вс),89539207318,,,,,,,,,https://vk.com/dogovnebon,,,56.498455,84.94428,https://2gis.com/firm/70000001061094110
Студия Зайцевой,,Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны,"Источная улица, 42",302 офис; 3 этаж,634050,,Советский район,Томск,Томск городской округ,Томская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,89539222844,,,,,,,,,,,,56.473438,84.946038,https://2gis.com/firm/70000001056437330
Студия татуировки,,Тату-салоны,"проспект Ленина, 159",,634009,,Ленинский район,Томск,Томск городской округ,Томская область,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,89234449046,,,,,,,,,https://vk.com/alexmerchk,,,56.497688,84.949379,https://2gis.com/firm/70000001047304017
Browzone,салон красоты,Услуги по уходу за ресницами / бровями; Услуги визажиста; Обучение мастеров для салонов красоты; Тату-салоны,"Карповский переулок, 13",408/5 офис; 4 этаж,634009,,Ленинский район,Томск,Томск городской округ,Томская область,Россия,Пн: 08:00-17:00; Вт: 08:00-17:00; Ср: 08:00-17:00; Чт: 08:00-17:00; Пт: 08:00-17:00; Сб: 08:00-17:00; Вс: 08:00-17:00 (по предварительной записи: пн-вс),89138652685,,,,,,,,,https://vk.com/la_pasionn,,,56.498243,84.949455,https://2gis.com/firm/70000001036542228
Студия красоты,,Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны,"Новосибирская, 43Б",3 этаж,634063,,Октябрьский район,Томск,Томск городской округ,Томская область,Россия,Пн: 12:00-20:00; Вт: 12:00-20:00; Ср: 12:00-20:00; Чт: 12:00-20:00; Пт: 12:00-20:00; Сб: 12:00-20:00,83822226337,89039556337,,,,http://arina-pm.ru,,,,https://vk.com/tatuazh_tomsk,,,56.51306,85.022531,https://2gis.com/firm/70000001037406948
Ink Wave Tattoo,,Тату-салоны,"Комсомольский проспект, 70/1",620 офис; 6 этаж,634041,,Советский район,Томск,Томск городской округ,Томская область,Россия,Пн: 13:00-20:00; Вт: 13:00-20:00; Ср: 13:00-20:00; Чт: 13:00-20:00; Пт: 13:00-20:00; Сб: 13:00-20:00; Вс: 13:00-20:00,89833487584,,,,,,,,,https://vk.com/inkwave_tattoo,,,56.466654,84.982635,https://2gis.com/firm/70000001042063384
Black Mark Tomsk,студия художественной татуировки,Тату-салоны,"проспект Кирова, 58 ст55",811 офис; 8 этаж,634012,,Советский район,Томск,Томск городской округ,Томская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи: пн-вс),89138566173,,,,,,,,,https://vk.com/blackmarktomsk,,,56.46547,84.983242,https://2gis.com/firm/70000001055850204
TATOO-TALISMAN,тату-салон,Тату-салоны,"Рабочая 1-я, 44",,634049,,Октябрьский район,Томск,Томск городской округ,Томская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00,89095410888,,,,,,,,,https://vk.com/club131465161,,,56.508089,85.007094,https://2gis.com/firm/70000001032196975
tattoo70.ru,,Тату-салоны,"Ивана Черных, 109/1",,634062,3 микрорайон,Октябрьский район,Томск,Томск городской округ,Томская область,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00 (по предварительному звонку: пн-вс),,,,,,http://tattoo70.ru,,,,,,,56.51619,85.039815,https://2gis.com/firm/70000001060232535
#РальфФемели,студия пирсинга и тату,Тату-салоны; Контактные линзы; Украшения для пирсинга; Косметика / Парфюмерия; Косметика / расходные материалы для салонов красоты,"проспект Ленина, 157",432 офис; 1 этаж,300026,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00 (по предварительной записи: пн-вс),89539534424,,,,,http://dikidi.net/583869,,,,https://vk.com/club173264199,,,54.145477,37.582895,https://2gis.com/firm/70000001036560205
The browbro club,салон красоты,Обучение мастеров для салонов красоты; Услуги по уходу за ресницами / бровями; Услуги косметолога; Тату-салоны; Услуги визажиста,"Советская, 11/5",1 этаж,300041,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (по предварительной записи: пн-вс),89109469955,89026968555,,,,http://browbroclub.ru,,,,https://vk.com/thebrowbroclub,,,54.19839,37.61299,https://2gis.com/firm/70000001036167959
ПРОТАТУ,студия татуировки и пирсинга,Тату-салоны; Услуги косметолога; Украшения для пирсинга,"Кирова, 25",1 этаж,300001,,Пролетарский район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-17:00,89539538585,,,,,http://протату.рф,http://www.protatu.com,,,https://vk.com/protatu,,,54.201137,37.647059,https://2gis.com/firm/5067077861780752
Забей,тату-студия,Тату-салоны,"Демидовская, 74",1 этаж,300057,,Зареченский район,Тула,Тула городской округ,Тульская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительной записи: пн-сб),89509043425,,,,,,,,,https://vk.com/zabey_tattoostudio,,,54.217019,37.620723,https://2gis.com/firm/70000001031448054
Anastasia Tan-San,студия,Услуги косметолога; Услуги по уходу за ресницами / бровями; Обучение мастеров для салонов красоты; Эпиляция; Тату-салоны,"Пролетарская, 24",1 этаж,300001,,Пролетарский район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи: пн-вс),89092602723,,,,,,,,,https://vk.com/public185420134,,,54.199918,37.639293,https://2gis.com/firm/70000001038169432
Berkana,салон красоты,Парикмахерские; Ногтевые студии; Студии загара; Тату-салоны,"Болдина, 96",1 этаж,300028,,Привокзальный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-18:00,89531900143,84872288000,,,,,,,,https://vk.com/brkagency,,,54.172925,37.574897,https://2gis.com/firm/5067077861780829
INK PANTHER,студия татуировки и пирсинга,Тату-салоны; Услуги косметолога,"проспект Ленина, 85 к6",6 место; 1 этаж,300012,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-17:00,89051172824,,,,,,,,,,,,54.175238,37.599099,https://2gis.com/firm/70000001022958636
Не Больно,тату-студия,Тату-салоны,"Советская, 112",404 офис; 4 этаж,300041,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительной записи: пн-вс),89964323545,,,,,,,,,https://vk.com/nebolno.tula,,,54.19184,37.629146,https://2gis.com/firm/70000001044036970
IGOLOCHKI,тату-салон,Тату-салоны; Украшения для пирсинга; Услуги косметолога; Услуги росписи по телу,"Станиславского, 15",4 офис; цокольный этаж,300026,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 08:00-23:50; Вт: 08:00-23:50; Ср: 08:00-23:50; Чт: 08:00-23:50; Пт: 08:00-23:50; Сб: 08:00-23:50; Вс: 08:00-23:50 (по предварительной записи: пн-вс),89534227079,89534402366,89932408285,,,,,,,https://vk.com/tatu_igolchki_tula,,,54.165183,37.593453,https://2gis.com/firm/70000001033543049
Красивые люди,салон красоты,Парикмахерские; Ногтевые студии; Услуги массажиста; Услуги косметолога; Услуги по уходу за ресницами / бровями; Тату-салоны; Эпиляция,"Радищева, 19",,300013,Серебровский м-н,Привокзальный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,89029063475,89065343983,,,,,,,,https://vk.com/krasivyeluditula,,,54.183682,37.571641,https://2gis.com/firm/5067077861780543
Татула,тату-салон,Тату-салоны,"Серебровская, 91",цокольный этаж,300013,Серебровский м-н,Привокзальный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительной записи: пн-вс),89065362222,,,,,http://tattoola.ru,,,,https://vk.com/tattoola71,,,54.177135,37.570758,https://2gis.com/firm/70000001031520892
THERAPY,арт-студия,Тату-салоны,"проспект Ленина, 29",2 офис; 2 этаж,300041,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс ),89534349354,89997804948,,,,,,,,,,,54.189594,37.614369,https://2gis.com/firm/70000001059934849
Студия Лилии Мелиховой,,Услуги косметолога; Тату-салоны,"Советская, 27",7 офис; 3 этаж,300041,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89157823815,,,,,,,,,,,,54.194139,37.612632,https://2gis.com/firm/70000001059387117
Vanbak71,тату-студия,Тату-салоны; Барбершопы,"Пионерская, 1",1 этаж,300041,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,89534210167,,,,,,,,,https://vk.com/id320106731,,,54.188818,37.627429,https://2gis.com/firm/70000001060674653
Шипоvник,тату-студия,Тату-салоны; Услуги косметолога; Ногтевые студии; Услуги по уходу за ресницами / бровями,"Дзержинского, 11а",2 этаж,300041,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00 (по предварительной записи: пн-вс),89534246161,,,,,http://shipovnikstudia.ru,,,,https://vk.com/shipovnikstudio,,,54.192719,37.626256,https://2gis.com/firm/70000001029419831
Semina permanent makeup,,Услуги по уходу за ресницами / бровями; Услуги косметолога; Тату-салоны,"Тургеневская, 50",703 комната; 7 этаж,300041,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 18:00-21:00; Вт: 18:00-21:00; Ср: 18:00-21:00; Чт: 18:00-21:00; Пт: 18:00-21:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89539732452,,,,,,,,,,,,54.185077,37.612064,https://2gis.com/firm/70000001044561621
Sferatattoo,тату-салон,Тату-салоны,"Пионерская, 1",1 этаж,300041,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00 (по предварительной записи: пн-вс),89207607888,,,,,,,,,,,,54.189143,37.627486,https://2gis.com/firm/70000001046609734
Pastish tattoo,студия тату,Тату-салоны,"Болдина, 98а",314 офис; 3 этаж,300028,,Привокзальный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00 (по предварительной записи: пн-вс),89964318869,,,,,,,,,,,,54.172744,37.572166,https://2gis.com/firm/70000001059216978
Ritual Tattoo Studio,тату-салон,Тату-салоны,"Николая Руднева, 28а/1",2 этаж,300012,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи: пн-вс),89539599679,,,,,,,,,https://vk.com/sadnuttt,,,54.168178,37.597404,https://2gis.com/firm/70000001051378575
Marmalade goose,тату-салон,Тату-салоны,"Союзная, 1",18А офис; 3 этаж,300041,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (по предварительной записи: пн-вс),,,,,,,,,,https://vk.com/marmartattoo,,,54.195653,37.61596,https://2gis.com/firm/70000001047725141
Кабинет перманентного макияжа,,Тату-салоны; Обучение мастеров для салонов красоты,"Болдина, 98",325 офис; 3 этаж,300028,,Привокзальный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи: пн-вс),89105555583,,,,,,,,,,,,54.172368,37.573912,https://2gis.com/firm/70000001059215981
Dey tattoo,тату-салон,Тату-салоны,"Пирогова, 26а",8 офис; 2 этаж,300041,,Центральный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи: пн-вс),89539624131,,,,,,,,,https://vk.com/deytattoo,,,54.186993,37.61854,https://2gis.com/firm/70000001050165741
Тatu-Tula,тату-салон,Тату-салоны,"Кирова, 22",46 офис; 2 этаж,300001,,Пролетарский район,Тула,Тула городской округ,Тульская область,Россия,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00 (по предварительной записи: пн-вс),89807273607,,,,,http://tattoo-tula.ru,,,,https://vk.com/federiko_dupon,,,54.200731,37.650299,https://2gis.com/firm/70000001052236967
Sergun studio,,Тату-салоны; Услуги по уходу за ресницами / бровями; Эпиляция,"Болдина, 47",26 офис; 2 этаж,300013,Серебровский м-н,Советский район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (по предварительной записи: пн-вс),89026957188,,,,,,,,,,,,54.181254,37.573633,https://2gis.com/firm/70000001057751646
Тату-салон,,Тату-салоны,"Галкина, 284/1",11 офис; 2 этаж,300062,,Зареченский район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,89534268044,,,,,,,,,https://vk.com/ravshana71,,,54.226873,37.631501,https://2gis.com/firm/70000001042218988
Tattoo-71,тату-салон,Тату-салоны,"Макаренко, 14",2 этаж,300028,,Привокзальный район,Тула,Тула городской округ,Тульская область,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (по предварительной записи: пн-вс),89531867171,,,,,,,,,https://vk.com/tatu_salon_tula,,,54.169152,37.571915,https://2gis.com/firm/5067077861784216
Vredina,студия красоты,Парикмахерские; Ногтевые студии; Услуги по уходу за ресницами / бровями; Тату-салоны,"Свободы, 19а",,301243,,,Щекино,Щёкинский район,Тульская область,Россия,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00 (по предварительной записи: пн-вс),89156944445,,,,,,,,,,,,54.001561,37.50158,https://2gis.com/firm/70000001041443789
L!MON,арт-студия,Тату-салоны; Услуги росписи по телу; Услуги по уходу за ресницами / бровями,"Южный микрорайон, 13Б",3 этаж,301321,,,Венев,Веневский район,Тульская область,Россия,Вт: 12:00-19:00; Ср: 12:00-19:00; Чт: 12:00-19:00; Пт: 12:00-19:00; Сб: 12:00-19:00 (по предварительной записи: вт-сб),89207541670,89056230981,,,,,,,,https://vk.com/public176681894,,,54.34384,38.246195,https://2gis.com/firm/70000001029541279
